INICIA= Fri_Oct_13_13_35_03 
FIM= Fri_Oct_13_14_45_31 

      Ilha_01   Ilha_02   Ilha_03   Ilha_04
1    397.3458    0.0000    0.0000    0.0000
2      0.0000    0.0000  399.0339    0.0000
3      0.0000  388.4795    0.0000    0.0000
4    447.3151    0.0000    0.0000    0.0000
5      0.0000  418.6933    0.0000    0.0000
6    462.7243    0.0000    0.0000    0.0000
7      0.0000  447.6522    0.0000    0.0000
8      0.0000    0.0000  412.4293    0.0000
9      0.0000    0.0000  430.8833    0.0000
10   510.6935    0.0000    0.0000    0.0000
11     0.0000  471.2722    0.0000    0.0000
12     0.0000    0.0000  468.1105    0.0000
13     0.0000    0.0000    0.0000  465.3309
14   569.0239    0.0000    0.0000    0.0000
15     0.0000  491.6819    0.0000    0.0000
16     0.0000    0.0000  497.0184    0.0000
17   589.6473    0.0000    0.0000    0.0000
18   619.8750    0.0000    0.0000    0.0000
19     0.0000  519.1036    0.0000    0.0000
20     0.0000    0.0000  513.4723    0.0000
21     0.0000    0.0000    0.0000  480.7218
22   659.3519    0.0000    0.0000    0.0000
23     0.0000    0.0000  547.8423    0.0000
24     0.0000    0.0000  573.4224    0.0000
25     0.0000    0.0000  600.3302    0.0000
26     0.0000  534.5082    0.0000    0.0000
27     0.0000    0.0000  618.7841    0.0000
28     0.0000    0.0000    0.0000  527.3569
29     0.0000  554.9876    0.0000    0.0000
30   704.8213    0.0000    0.0000    0.0000
31     0.0000    0.0000  647.6919    0.0000
32   735.9370    0.0000    0.0000    0.0000
33     0.0000  580.6077    0.0000    0.0000
34     0.0000    0.0000    0.0000  547.7377
35     0.0000  606.2277    0.0000    0.0000
36     0.0000    0.0000  673.2719    0.0000
37     0.0000    0.0000    0.0000  568.5234
38     0.0000    0.0000    0.0000  588.9042
39     0.0000    0.0000    0.0000  611.6858
40   756.7554    0.0000    0.0000    0.0000
41     0.0000    0.0000    0.0000  632.0667
42     0.0000    0.0000  712.6337    0.0000
43   777.1747    0.0000    0.0000    0.0000
44     0.0000  627.0369    0.0000    0.0000
45     0.0000    0.0000    0.0000  659.8383
46     0.0000    0.0000    0.0000  705.1693
47     0.0000    0.0000    0.0000  720.5601
48   810.0131    0.0000    0.0000    0.0000
49     0.0000  673.8970    0.0000    0.0000
50   826.5054    0.0000    0.0000    0.0000
51   844.9977    0.0000    0.0000    0.0000
52     0.0000    0.0000  749.8610    0.0000
53   873.9824    0.0000    0.0000    0.0000
54     0.0000    0.0000    0.0000  750.7325
55     0.0000    0.0000    0.0000  776.9130
56     0.0000  694.7042    0.0000    0.0000
57     0.0000  714.5104    0.0000    0.0000
58     0.0000    0.0000  770.6538    0.0000
59     0.0000    0.0000    0.0000  797.2938
60   910.1148    0.0000    0.0000    0.0000
61     0.0000  738.4610    0.0000    0.0000
62   935.7549    0.0000    0.0000    0.0000
63   961.3951    0.0000    0.0000    0.0000
64  1000.8720    0.0000    0.0000    0.0000
65     0.0000  758.9405    0.0000    0.0000
66  1029.8566    0.0000    0.0000    0.0000
67  1058.8412    0.0000    0.0000    0.0000
68     0.0000    0.0000    0.0000  842.6248
69     0.0000    0.0000  807.8811    0.0000
70     0.0000    0.0000    0.0000  865.4064
71     0.0000    0.0000  836.7889    0.0000
72  1085.6947    0.0000    0.0000    0.0000
73     0.0000  795.0400    0.0000    0.0000
74     0.0000    0.0000  863.5623    0.0000
75     0.0000    0.0000  878.9577    0.0000
76     0.0000    0.0000    0.0000  910.7373
77     0.0000    0.0000  899.3481    0.0000
78     0.0000    0.0000  928.2559    0.0000
79     0.0000    0.0000  965.6176    0.0000
80     0.0000    0.0000  993.8058    0.0000
81     0.0000    0.0000 1014.5986    0.0000
82     0.0000    0.0000    0.0000  931.5230
83     0.0000  815.4496    0.0000    0.0000
84  1111.3349    0.0000    0.0000    0.0000
85     0.0000  842.2763    0.0000    0.0000
86  1140.3195    0.0000    0.0000    0.0000
87     0.0000    0.0000 1031.0525    0.0000
88     0.0000    0.0000    0.0000  976.8539
89     0.0000  865.0855    0.0000    0.0000
90     0.0000  885.4951    0.0000    0.0000
91  1163.1379    0.0000    0.0000    0.0000
92     0.0000  911.1151    0.0000    0.0000
93     0.0000    0.0000    0.0000 1022.1848
94  1187.1058    0.0000    0.0000    0.0000
95  1216.0904    0.0000    0.0000    0.0000
96     0.0000  940.0741    0.0000    0.0000
97     0.0000    0.0000 1070.4143    0.0000
98     0.0000    0.0000 1090.8682    0.0000
99  1233.8989    0.0000    0.0000    0.0000
100    0.0000  985.5087    0.0000    0.0000
101    0.0000 1005.9882    0.0000    0.0000
102    0.0000 1026.7954    0.0000    0.0000
103 1259.5390    0.0000    0.0000    0.0000
104    0.0000 1055.7543    0.0000    0.0000
105    0.0000    0.0000    0.0000 1067.5158
106    0.0000 1081.3743    0.0000    0.0000
107    0.0000    0.0000 1109.3221    0.0000
108 1279.9582    0.0000    0.0000    0.0000
109    0.0000 1101.8538    0.0000    0.0000
110    0.0000    0.0000 1138.2299    0.0000
111    0.0000    0.0000    0.0000 1090.2974
112    0.0000 1120.3333    0.0000    0.0000
113    0.0000    0.0000    0.0000 1122.6543
114    0.0000    0.0000 1167.1377    0.0000
115 1317.4351    0.0000    0.0000    0.0000
116    0.0000    0.0000 1189.9285    0.0000
117    0.0000    0.0000 1239.7442    0.0000
118    0.0000    0.0000 1260.5370    0.0000
119    0.0000    0.0000 1284.4531    0.0000
120    0.0000    0.0000    0.0000 1145.4359
121    0.0000 1141.1425    0.0000    0.0000
122    0.0000    0.0000 1307.2439    0.0000
123    0.0000    0.0000 1344.4712    0.0000
124    0.0000    0.0000    0.0000 1190.7669
125    0.0000    0.0000 1373.2446    0.0000
126    0.0000    0.0000    0.0000 1218.5385
127 1340.2536    0.0000    0.0000    0.0000
128 1361.0680    0.0000    0.0000    0.0000
129 1381.8824    0.0000    0.0000    0.0000
130    0.0000    0.0000    0.0000 1238.9194
131    0.0000 1159.6219    0.0000    0.0000
132 1435.6550    0.0000    0.0000    0.0000
133 1466.7707    0.0000    0.0000    0.0000
134    0.0000 1178.1014    0.0000    0.0000
135    0.0000 1198.5809    0.0000    0.0000
136 1487.5852    0.0000    0.0000    0.0000
137    0.0000    0.0000    0.0000 1266.6910
138    0.0000 1238.0193    0.0000    0.0000
139    0.0000    0.0000 1394.0374    0.0000
140 1522.9310    0.0000    0.0000    0.0000
141    0.0000    0.0000    0.0000 1287.4766
142 1551.9156    0.0000    0.0000    0.0000
143    0.0000 1264.9782    0.0000    0.0000
144 1568.4079    0.0000    0.0000    0.0000
145 1586.9002    0.0000    0.0000    0.0000
146    0.0000 1278.3828    0.0000    0.0000
147    0.0000    0.0000 1414.6258    0.0000
148    0.0000    0.0000 1433.4186    0.0000
149    0.0000    0.0000 1472.9148    0.0000
150    0.0000    0.0000 1501.8226    0.0000
151    0.0000 1296.8623    0.0000    0.0000
152    0.0000    0.0000    0.0000 1310.2583
153    0.0000 1315.3417    0.0000    0.0000
154    0.0000 1344.3007    0.0000    0.0000
155    0.0000 1376.7307    0.0000    0.0000
156    0.0000    0.0000 1528.7304    0.0000
157 1605.7146    0.0000    0.0000    0.0000
158    0.0000 1397.5379    0.0000    0.0000
159    0.0000 1424.3646    0.0000    0.0000
160    0.0000    0.0000 1557.6382    0.0000
161 1643.0605    0.0000    0.0000    0.0000
162    0.0000    0.0000 1581.5544    0.0000
163    0.0000 1442.8441    0.0000    0.0000
164 1682.5374    0.0000    0.0000    0.0000
165    0.0000    0.0000    0.0000 1331.0439
166    0.0000    0.0000    0.0000 1376.3749
167    0.0000    0.0000 1649.9251    0.0000
168    0.0000    0.0000 1668.3790    0.0000
169 1711.3909    0.0000    0.0000    0.0000
170    0.0000    0.0000    0.0000 1399.1565
171    0.0000    0.0000    0.0000 1421.9381
172    0.0000    0.0000    0.0000 1444.7198
173    0.0000    0.0000    0.0000 1465.5054
174    0.0000 1471.8030    0.0000    0.0000
175    0.0000    0.0000 1689.1698    0.0000
176    0.0000    0.0000 1704.5652    0.0000
177    0.0000 1513.3737    0.0000    0.0000
178    0.0000 1531.8531    0.0000    0.0000
179    0.0000 1547.2577    0.0000    0.0000
180    0.0000    0.0000    0.0000 1488.2870
181 1740.3755    0.0000    0.0000    0.0000
182    0.0000 1586.6961    0.0000    0.0000
183    0.0000 1609.5053    0.0000    0.0000
184    0.0000 1639.7192    0.0000    0.0000
185    0.0000 1668.6781    0.0000    0.0000
186    0.0000    0.0000    0.0000 1508.6679
187    0.0000    0.0000 1734.7514    0.0000
188    0.0000    0.0000    0.0000 1553.9988
189    0.0000    0.0000 1764.9376    0.0000
190    0.0000    0.0000 1785.3280    0.0000
191    0.0000 1692.6287    0.0000    0.0000
192    0.0000 1713.4359    0.0000    0.0000
193 1760.8678    0.0000    0.0000    0.0000
194    0.0000 1742.3948    0.0000    0.0000
195    0.0000    0.0000    0.0000 1599.3297
196    0.0000    0.0000    0.0000 1620.1154
