Ilha1,Ilha2,Ilha3,Ilha4,TEMPO INÍCIO,TEMPO FINAL
,,1,,360,397.227
,1,,,365,401.099
1,,,,370,388.492
,,1,,397.227,447.043
,1,,,401.099,431.313
1,,,,388.492,403.902
,1,,,431.313,460.272
1,,,,403.902,419.311
1,,,,419.311,437.803
,,1,,447.043,496.859
1,,,,437.803,463.443
1,,,,463.443,500.789
,,,1,420,465.331
,,1,,496.859,554.994
,1,,,460.272,480.682
,1,,,480.682,509.641
1,,,,500.789,521.412
,,1,,554.994,585.18
1,,,,521.412,550.856
1,,,,550.856,569.348
,,,1,460,482.782
,1,,,509.641,549.079
,,1,,585.18,619.55
,1,,,549.079,574.699
,1,,,574.699,604.913
1,,,,569.348,584.757
,,1,,619.55,638.004
,,,1,495,527.357
1,,,,584.757,603.25
,1,,,604.913,650.348
1,,,,603.25,632.234
,1,,,650.348,681.439
,,1,,638.004,663.584
,,,1,525,545.381
1,,,,632.234,657.874
,,1,,663.584,689.164
,,,1,545.381,568.162
,,,1,568.162,588.543
,1,,,681.439,704.248
1,,,,657.874,680.693
,1,,,704.248,724.658
,,1,,689.164,728.526
,,1,,728.526,748.916
1,,,,680.693,703.511
,,,1,588.543,616.315
,,,1,616.315,661.646
,,,1,661.646,684.428
1,,,,703.511,736.35
,1,,,724.658,771.518
,1,,,771.518,789.997
1,,,,736.35,754.842
,,1,,748.916,786.143
,,1,,786.143,816.33
,,,1,625,677.345
,,,1,677.345,718.307
1,,,,754.842,775.657
1,,,,775.657,795.469
,1,,,789.997,810.804
,,,1,718.307,751.069
,1,,,810.804,846.904
1,,,,795.469,819.437
,,1,,816.33,841.91
,,1,,841.91,867.49
,1,,,846.904,886.342
1,,,,819.437,837.929
1,,,,837.929,868.157
,1,,,886.342,915.301
,,,1,695,740.331
,,1,,867.49,904.717
,,,1,740.331,763.113
1,,,,868.157,897.141
,1,,,915.301,943.115
,,1,,904.717,940.751
,1,,,943.115,969.942
1,,,,897.141,912.551
,,,1,763.113,808.444
,1,,,969.942,990.352
,,1,,940.751,969.659
,,1,,969.659,1009.02
1,,,,912.551,933.365
,,,1,808.444,831.225
,,,1,831.225,854.007
1,,,,933.365,953.784
,1,,,990.352,1015.972
,,1,,1009.02,1035.794
,1,,,1015.972,1044.931
